countryname,cityname,citycode,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Switzerland,Sankt Gallen,stgl.sui9513,fixed,0.08,0.08,0.02,0.08,0.09,0.06,0.09,0.04,0.12
United States,South bend,sthb.usa7306,fixed,0.13,0.13,0.04,0.1,0.12,0.1,0.15,0.06,0.2
United States,St. Louis,stls.usa7306,fixed,0.1,0.1,0.04,0.09,0.11,0.07,0.12,0.04,0.17
United States,stamford,stmf.usa7306,fixed,0.16,0.16,0.03,0.14,0.16,0.14,0.17,0.11,0.2
United States,St. Petersburg,stpt.usa7306,fixed,0.15,0.15,0.03,0.14,0.15,0.13,0.17,0.1,0.19
France,bas rhin,strs.fra0014,fixed,0.08,0.08,0.02,0.07,0.08,0.06,0.09,0.04,0.11
United Kingdom,Southend-on-Sea,stse.uk9016,fixed,0.11,0.11,0.04,0.1,0.12,0.08,0.13,0.04,0.17
United States,State College,sttc.usa7306,fixed,0.11,0.11,0.1,0.09,0.13,0.05,0.17,-0.05,0.27
United States,Seattle,sttl.usa7306,fixed,0.13,0.13,0.03,0.12,0.14,0.11,0.15,0.08,0.18
United Kingdom,Stoke-on-Trent,sttr.uk9016,fixed,0.08,0.08,0.05,0.06,0.09,0.05,0.11,0.01,0.17
Germany,Stuttgart,sttt.ger9315,fixed,0.07,0.07,0.02,0.06,0.07,0.05,0.08,0.04,0.1
Spain,Sevilla,svll.spa9014,fixed,0.18,0.19,0.02,0.18,0.19,0.17,0.2,0.15,0.22
United Kingdom,Swindon,swnd.uk9016,fixed,0.13,0.13,0.05,0.12,0.14,0.09,0.16,0.04,0.21
Australia,Sydney,sydn.aus8809,fixed,0.17,0.17,0.02,0.16,0.17,0.16,0.18,0.14,0.21
United States,Tacoma,tacm.usa7306,fixed,0.12,0.12,0.03,0.1,0.12,0.09,0.13,0.07,0.17
United States,Tampa,tamp.usa7306,fixed,0.11,0.11,0.02,0.1,0.11,0.09,0.12,0.08,0.14
United States,tucson,tcsn.usa7306,fixed,0.1,0.11,0.03,0.09,0.11,0.08,0.12,0.06,0.15
Chile,Araucanía,temc.chl0414,fixed,0.06,0.07,0.02,0.07,0.07,0.05,0.08,0.04,0.1
